MHOUNDEL_BRANCH_ID,MHOUNDEL_NO,MHOUNDEL_REMARKS,MHOUNDEL_DATE,MHOUNDEL_USER_ID,MHOUNDEL_ZONE,MHOUNDEL_APPROVE,MHOUNDEL_USER1,MHOUNDEL_USER2,MHOUNDEL_SIGNDATE,MHOUNDEL_FLOW
BOO000,BOO/HOC/00096969,AU Ex UNDEL,2026-01-06 21:17:01,DRIMANA,BOO001,Y,DRIMANA,GERALDI,2026-01-06 00:00:00,C
MGL000,MGL/HOC/00018255,AU Ex UNDEL,2026-01-08 09:46:07,DIAARMGL,MGL265,Y,DIAARMGL,ANIPVIA,2026-01-08 00:00:00,C
UPG000,UPG/HOC/00093014,,2026-01-15 15:22:03,YUSMAHEN,UPG002,Y,YUSMAHEN,ALIUPG,2026-01-15 00:00:00,C
SUB000,SUB/HOC/00304557,AU Ex UNDEL,2026-01-08 06:06:58,FIRGO,SUB001,Y,FIRGO,SUSARI,2026-01-08 00:00:00,C
CGK000,CGK/HOC/00577230,,2026-01-07 23:26:59,AWAN_W,CGK637,Y,AWAN_W,RIDHWAN,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577976,,2026-01-11 17:45:31,MNURCGK,CGK637,Y,MNURCGK,ERVAN,2026-01-11 00:00:00,C
BOO000,BOO/HOC/00097025,AU Ex UNDEL,2026-01-08 00:19:02,TAUPIBOO,BOO001,Y,TAUPIBOO,AWANBOO,2026-01-08 00:00:00,C
CLG000,CLG/HOC/00148604,AU Ex UNDEL,2026-01-06 23:03:12,SUYADCLG,CLG001,Y,SUYADCLG,ERISCLG,2026-01-06 00:00:00,C
TGR000,TGR/HOC/00177497,AU Ex UNDEL,2026-01-09 17:10:09,LIHARDO,TGR208,Y,LIHARDO,YUSROTGR,2026-01-09 00:00:00,C
CGK000,CGK/HOC/00576933,,2026-01-06 19:27:31,ZAENIS,CGK864,Y,ZAENIS,WARDOYO,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577042,,2026-01-07 01:14:30,ZAENIS,CGK864,Y,ZAENIS,WARDOYO,2026-01-07 00:00:00,C
TGR000,TGR/HOC/00177382,AU Ex UNDEL,2026-01-07 23:40:58,ARYADUTA,TGR129,Y,ARYADUTA,BRANDO,2026-01-08 00:00:00,C
MGL000,MGL/HOC/00018255,AU Ex UNDEL,2026-01-08 09:46:07,DIAARMGL,MGL265,Y,DIAARMGL,ANIPVIA,2026-01-08 00:00:00,C
CKR000,CKR/HOC/00036474,,2026-01-07 06:57:08,RIPIN,CKR003,Y,RIPIN,NONO,2026-01-07 00:00:00,C
MXG000,MXG/HOC/00071788,,2026-01-14 06:36:05,ERYVN,MXG094,Y,ERYVN,KUSWAN,2026-01-14 00:00:00,C
PSR000,PSR/HOC/00009658,,2026-01-08 19:19:11,GERHAPSR,PSR048,Y,GERHAPSR,DANDWING,2026-01-08 00:00:00,C
AMI000,AMI/HOC/00073037,AU Ex UNDEL,2026-01-12 22:23:29,RIFKUAMI,AMI191,Y,RIFKUAMI,BUYAHA,2026-01-12 00:00:00,C
AMI000,AMI/HOC/00073164,AU Ex UNDEL,2026-01-15 12:04:17,RIFKUAMI,AMI191,Y,RIFKUAMI,BUYAHA,2026-01-15 00:00:00,C
SMI000,SMI/HOC/00071793,AU Ex UNDEL,2026-01-07 21:54:35,RIFALSMI,SMI153,Y,RIFALSMI,RIZKISMI,2026-01-07 00:00:00,C
TGR000,TGR/HOC/00177215,AU Ex UNDEL,2026-01-06 00:00:07,ARMANSYH,TGR129,Y,ARMANSYH,BUDISS,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577090,,2026-01-07 13:14:49,DEDISUR,CGK637,Y,DEDISUR,ERVAN,2026-01-07 00:00:00,C
BKI000,BKI/HOC/00091539,AU Ex UNDEL,2026-01-06 20:13:03,ANIL,BKI422,Y,ANIL,ANFAJ,2026-01-06 00:00:00,C
BKI000,BKI/HOC/00091603,AU Ex UNDEL,2026-01-08 15:03:18,SPYAN,BKI001,Y,SPYAN,MIFTABKI,2026-01-08 00:00:00,C
PKU000,PKU/HOC/00098858,AU Ex UNDEL,2026-01-21 09:39:53,ARMINPKU,PKU026,Y,ARMINPKU,DASRIPKU,2026-01-21 00:00:00,C
SDA000,SDA/HOC/00022498,AU Ex UNDEL,2026-01-06 22:58:47,MUNASDA,SDA060,Y,MUNASDA,YEIN,2026-01-06 00:00:00,C
BKS000,BKS/HOC/00087683,AU Ex UNDEL,2026-01-06 17:33:10,MEKO,BKS001,Y,MEKO,YUSRIBKS,2026-01-06 00:00:00,C
BKS000,BKS/HOC/00087725,AU Ex UNDEL,2026-01-07 21:09:55,MEKO,BKS001,Y,MEKO,YUSRIBKS,2026-01-07 00:00:00,C
