DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
CGK/DO/03390188,CGK010/24986373,CGK/HVO/11205884,TANRIFD,2026-01-05 21:05:33
CGK/DO/03390285,CGK865/24987239,CGK/HVO/11206125,TANRIFD,2026-01-05 22:31:25
CGK/DO/03390285,CGK865/24987239,CGK/HVO/11206125,TANRIFD,2026-01-05 22:31:25
CGK/DO/03390463,CGK843/24988095,CGK/HVO/11206929,RINALDY,2026-01-06 01:09:20
TGR/DO/00887270,TGR208/24988121,TGR/HVO/04633349,YUMIL,2026-01-06 01:31:08
TGR/DO/00887270,TGR208/24988110,TGR/HVO/04633347,YUMIL,2026-01-06 01:31:14
TGR/DO/00887270,TGR208/24988110,TGR/HVO/04633347,YUMIL,2026-01-06 01:31:14
TGR/DO/00887270,TGR208/24988110,TGR/HVO/04633347,YUMIL,2026-01-06 01:31:14
CGK/DO/03390571,CGK1152/24988869,CGK/HVO/11207570,EKAMO,2026-01-06 01:48:19
CGK/DO/03390571,CGK1152/24988870,CGK/HVO/11207570,EKAMO,2026-01-06 01:48:21
SUB/DO/00409802,SUB309/24988883,SUB/HVO/01336264,UMAR F,2026-01-06 02:18:23
SUB/DO/00409802,SUB309/24988962,SUB/HVO/01336264,UMAR F,2026-01-06 02:18:26
SUB/DO/00409802,SUB309/24989030,SUB/HVO/01336264,UMAR F,2026-01-06 02:18:28
TGR/DO/00887276,TGR129/24989144,TGR/HVO/04633475,DYKURNIA,2026-01-06 02:19:51
CGK/DO/03390646,2095260106021804,CGK/HVO/11208050,RINALDY,2026-01-06 02:51:36
SRG/DO/01576920,SRG043/24983342,SRG/HVO/02821818,BAMDWIAT,2026-01-05 13:11:54
SRG/DO/01576999,SRG554/24984276,SRG/HVO/02821882,ALESISRG,2026-01-05 14:51:10
PDG/DO/00089349,PDG068/24982618,PDG/HVO/00356235,MUL PDG,2026-01-05 15:18:46
SMD/DO/00008111,SMD001/24985052,SMD/HVO/00063739,RUSNAE,2026-01-05 16:16:15
BDO/DO/00955461,BDO580/24985001,BDO/HVO/01419662,DSETIAW,2026-01-05 16:18:02
BKI/DO/00253481,BKI505/24983388,BKI/HVO/00391203,DIVABKI,2026-01-05 16:43:25
BKI/DO/00253511,BKI468/24986174,BKI/HVO/00391237,FIRARDIA,2026-01-05 21:56:56
CGK/DO/03390271,CGK010/24987185,CGK/HVO/11206097,TANRIFD,2026-01-05 22:12:02
CGK/DO/03390310,CGK1166/24986494,CGK/HVO/11205907,ENDDESP,2026-01-05 22:28:54
TGR/DO/00887239,TGR129/24987555,TGR/HVO/04633258,YUMIL,2026-01-05 23:55:59
DPS/DO/00201143,DPS183/24988124,DPS/HVO/00509106,KADEKEGA,2026-01-06 00:05:51
BKI/DO/00253596,BKI503/24989553,BKI/HVO/00391286,INDRAST,2026-01-06 06:34:09
TGR/DO/00887393,TGR208/24989990,TGR/HVO/04633564,SOKIN,2026-01-06 07:42:20
BDO/DO/00955829,BDO007/24987620,BDO/HVO/01419790,NAEDIBDO,2026-01-06 08:00:21
CGK/DO/03391091,CGK637/24991380,CGK/HVO/11210559,MRIAL,2026-01-06 08:15:07
CGK/DO/03391091,CGK637/24991380,CGK/HVO/11210559,MRIAL,2026-01-06 08:15:07
BKI/DO/00253619,BKI422/24991765,BKI/HVO/00391318,DLIABKI,2026-01-06 08:33:42
TGL/DO/00122634,TGL177/24991901,TGL/HVO/00274743,AKMALTGL,2026-01-06 08:55:08
CGK/DO/03391123,2045260106075914,CGK/HVO/11210834,MRIAL,2026-01-06 09:05:18
TGR/DO/00887505,TGR593/24991551,TGR/HVO/04633693,IMAROFI,2026-01-06 10:28:41
BKI/DO/00253649,BKI481/24993507,BKI/HVO/00391363,SUPAG,2026-01-06 11:02:43
CGK/DO/03391347,CGK1321/24992849,CGK/HVO/11211533,SAFANTO,2026-01-06 11:35:46
CGK/DO/03391333,2242260106103011,CGK/HVO/11211745,MRIAL,2026-01-06 11:47:31
BOO/DO/00466493,BOO423/24994440,BOO/HVO/01107844,ANDIKBOO,2026-01-06 12:32:58
CGK/DO/03391460,CGK843/24994793,CGK/HVO/11212291,ARIMACGK,2026-01-06 13:03:34
BOO/DO/00466510,BOO421/24994692,BOO/HVO/01107880,ANDRIB,2026-01-06 13:37:36
DPS/DO/00201319,DPS160/24994743,DPS/HVO/00509238,PUTADI,2026-01-06 13:55:55
SRG/DO/01577783,SRG551/24995675,SRG/HVO/02822606,MUHAZAL,2026-01-06 14:27:57
BDO/DO/00955994,BDO388/24994827,BDO/HVO/01420207,YANCAH,2026-01-06 14:33:11
CGK/DO/03391613,CGK1251/24994032,CGK/HVO/11212138,FATONCGK,2026-01-06 14:41:04
BDO/DO/00956028,BDO532/24996349,BDO/HVO/01420272,DIDIN,2026-01-06 17:03:49
BDO/DO/00956029,BDO416/24996353,BDO/HVO/01420273,DIDIN,2026-01-06 17:04:14
BDO/DO/00956030,BDO007/24996356,BDO/HVO/01420274,DIDIN,2026-01-06 17:04:37
BDO/DO/00956031,BDO591/24996264,BDO/HVO/01420267,ARAHA,2026-01-06 17:07:40
SUB/DO/00409765,SUB309/24987621,SUB/HVO/01336220,TRISONO,2026-01-05 23:36:52
SUB/DO/00409765,SUB309/24987621,SUB/HVO/01336220,TRISONO,2026-01-05 23:36:52
SUB/DO/00409765,SUB309/24987661,SUB/HVO/01336220,TRISONO,2026-01-05 23:36:53
SUB/DO/00409765,SUB309/24987661,SUB/HVO/01336220,TRISONO,2026-01-05 23:36:53
CGK/DO/03390422,2234260105232707,CGK/HVO/11206754,ARSYADA,2026-01-06 00:35:12
CGK/DO/03390460,2277260106000500,CGK/HVO/11207004,ARSYADA,2026-01-06 00:44:03
BDO/DO/00955645,BDO007/24986942,BDO/HVO/01419741,TONIR,2026-01-06 01:15:15
BKI/DO/00253530,BKI481/24987934,BKI/HVO/00391258,KYRAMA,2026-01-06 01:34:12
JBR/DO/00077245,JBR033/24989141,JBR/HVO/00186602,STINGKY,2026-01-06 02:22:38
JBR/DO/00077245,JBR033/24989141,JBR/HVO/00186602,STINGKY,2026-01-06 02:22:38
JBR/DO/00077245,JBR033/24989141,JBR/HVO/00186602,STINGKY,2026-01-06 02:22:38
JBR/DO/00077245,JBR033/24989141,JBR/HVO/00186602,STINGKY,2026-01-06 02:22:38
