DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
TGR/HOC/00177497,3,RTDPK26006810481,1,,,,,,TGR/HRS/10818296,2026-01-09 17:10:19
CGK/HOC/00576933,17,TG3543877875,1,AU BRNG DI AREA,,,,,CGK/HRS/15256998,2026-01-06 19:29:12
CGK/HOC/00577042,203,TG3544897375,1,ANTAR ULANG,,,,,CGK/HRS/15264237,2026-01-07 01:23:38
TGR/HOC/00177382,78,TG3545537974,1,,,,,,TGR/HRS/10809513,2026-01-08 01:13:02
MGL/HOC/00018255,88,010090000302126,1,,,,,,MGL/HRS/01199057,2026-01-08 09:50:00
CKR/HOC/00036474,1,010460000011526,1,,,,,,CKR/HRS/02763958,2026-01-07 06:57:10
MXG/HOC/00071788,1,011350000123126,1,,,,,,MXG/HRS/01400536,2026-01-14 06:36:08
PSR/HOC/00009658,3,0117582600058728,1,,,,,,PSR/HRS/00380182,2026-01-08 19:19:21
AMI/HOC/00073037,1,0117582600060039,1,AU,,,,,AMI/HRS/01024087,2026-01-12 22:23:36
AMI/HOC/00073164,18,0117582600060039,1,AU,,,,,AMI/HRS/01025535,2026-01-15 12:04:54
SMI/HOC/00071793,6,0117582600060633,1,,,,,,SMI/HRS/01692130,2026-01-07 21:55:00
TGR/HOC/00177215,66,017490000392326,1,,,,,,TGR/HRS/10794773,2026-01-06 00:01:34
CGK/HOC/00577090,8,021110000223026,1,AU EX UNDEL,,,,,CGK/HRS/15262496,2026-01-07 13:15:36
BKI/HOC/00091539,8,023220000070726,1,AU,,,,,BKI/HRS/03321728,2026-01-06 20:13:36
BKI/HOC/00091603,7,023220000070726,1,AU OPS SIANG 08-01-2026,,,,,BKI/HRS/03324129,2026-01-08 15:04:41
PKU/HOC/00098858,8,023760000008026,1,,,,,,PKU/HRS/02103146,2026-01-21 09:40:05
SDA/HOC/00022498,35,082870000073326,1,AU BARAT,,,,,SDA/HRS/00344164,2026-01-06 22:59:28
BKS/HOC/00087725,5,11003096727729,1,AU/RU,,,,,BKS/HRS/00968109,2026-01-07 21:10:19
BKS/HOC/00087683,5,11003096727729,1,AU/RU,,,,,BKS/HRS/00967512,2026-01-06 17:33:33
CLG/HOC/00148558,21,170160000103926,1,,,,,,CLG/HRS/02840713,2026-01-06 01:25:05
CGK/HOC/00577033,47,170810000041826,1,,,,,,CGK/HRS/15264286,2026-01-07 00:44:56
CGK/HOC/00577047,60,180990002753325,1,ANTAR ULANG,,,,,CGK/HRS/15264691,2026-01-07 01:38:57
DPS/HOC/00203718,36,256040002685425,1,AU TO OPR KANDA,,,,,DPS/HRS/02036848,2026-01-08 22:46:41
KOE/HOC/00503472,6,360350000025126,1,,,,,,KOE/HRS/01348272,2026-01-06 17:47:58
CGK/HOC/00576939,7,520060000234826,1,,,,,,CGK/HRS/15257048,2026-01-06 20:10:55
TGR/HOC/00177535,165,570180000009126,1,,,,,,TGR/HRS/10824350,2026-01-10 01:46:16
PWT/HOC/00101235,20,581460000060526,1,,,,,,PWT/HRS/01437986,2026-01-08 03:57:32
CGK/HOC/00576746,4,BKSEC00491274126,1,,,,,,CGK/HRS/15253082,2026-01-05 22:55:25
CKR/HOC/00036468,17,CM64562790288,1,AU HUB SETU 07/01/2026,,,,,CKR/HRS/02764184,2026-01-07 00:48:03
KOE/HOC/00503853,1,JNAC-0072680358,1,AU,,,,,KOE/HRS/01349417,2026-01-10 10:51:12
DPS/HOC/00203508,23,JNAP-0249226881,1,AU TO OPR SGR,,,,,DPS/HRS/02035072,2026-01-06 20:51:55
DPS/HOC/00203701,9,JNAP-0249226881,1,AU TO OPR SGR,,,,,DPS/HRS/02036718,2026-01-08 19:00:01
SUB/HOC/00304674,10,RTKOE26014643789,1,AU AREA 09 JAN 26,,,,,SUB/HRS/05172975,2026-01-09 00:59:46
TGR/HOC/00177289,228,RTSMI26010299998,1,,,,,,TGR/HRS/10802245,2026-01-07 02:09:58
PWT/HOC/00101233,45,TG3540747074,1,HO/AU TO OPR,,,,,PWT/HRS/01438036,2026-01-07 21:09:22
CKR/HOC/00036488,31,TG3540787374,1,,,,,,CKR/HRS/02765984,2026-01-07 22:48:23
TGR/HOC/00177289,252,TG3543038472,1,,,,,,TGR/HRS/10802265,2026-01-07 02:15:32
CLG/HOC/00148604,8,0117582600059148,1,,,,,,CLG/HRS/02842108,2026-01-06 23:03:25
TKG/HOC/00189029,1,0117582600060666,1,,,,,,TKG/HRS/02147296,2026-01-07 19:38:30
BKI/HOC/00091523,2,0161262600000591,1,,,,,,BKI/HRS/03321578,2026-01-06 02:23:16
DPK/HOC/00082571,20,018000000224826,1,,,,,,DPK/HRS/02474397,2026-01-07 00:53:25
SUB/HOC/00304253,8,031510000039925,1,AU SEMAMBUNG,,,,,SUB/HRS/05165504,2026-01-06 01:53:54
SUB/HOC/00304381,168,050900000055626,1,AU AREA 07 JAN 2026,,,,,SUB/HRS/05167468,2026-01-06 21:38:48
TGR/HOC/00177289,271,071100000068526,1,,,,,,TGR/HRS/10802270,2026-01-07 02:16:31
CBN/HOC/00092356,61,082580000059226,1,,,,,,CBN/HRS/03109786,2026-01-10 14:26:36
CGK/HOC/00577390,1,250820000227226,1,,,,,,CGK/HRS/15261894,2026-01-08 18:21:05
CKR/HOC/00036470,80,254030000011026,1,,,,,,CKR/HRS/02764531,2026-01-07 01:09:19
BDO/HOC/00229077,6,370330000098726,1,,,,,,BDO/HRS/08333939,2026-01-07 02:36:59
CGK/HOC/00577044,99,380310000244326,1,ANTAR ULANG,,,,,CGK/HRS/15264601,2026-01-07 01:21:51
CGK/HOC/00577044,87,440970000091026,1,ANTAR ULANG,,,,,CGK/HRS/15264567,2026-01-07 01:21:36
DPK/HOC/00082681,1,542310000051026,1,,,,,,DPK/HRS/02474453,2026-01-10 12:57:55
PNK/HOC/00050195,52,620150000057126,1,,,,,,PNK/HRS/01574220,2026-01-09 21:06:05
SUB/HOC/00304397,2,CM47716715320,1,AU AREA 07/01/2026 HUB UTARA,,,,,SUB/HRS/05167924,2026-01-06 23:39:42
MDN/HOC/00037808,1,CM73296122488,1,,,,,,MDN/HRS/01426719,2026-01-06 22:01:53
DPS/HOC/00203476,1,JNAP-0249239143,1,AU TO OPR,,,,,DPS/HRS/02035052,2026-01-06 17:22:31
CGK/HOC/00576933,2,TG0005411840,1,AU BRNG DI AREA,,,,,CGK/HRS/15256981,2026-01-06 19:27:58
CGK/HOC/00577119,1,TG3541577476,1,AU EX UNDEL,,,,,CGK/HRS/15260190,2026-01-07 14:52:01
CGK/HOC/00577233,149,TG3541577476,1,,,,,,CGK/HRS/15272173,2026-01-07 23:37:35
CGK/HOC/00576959,61,TG3541667775,1,,,,,,CGK/HRS/15258828,2026-01-06 21:41:39
CGK/HOC/00577042,215,TG3548007678,1,ANTAR ULANG,,,,,CGK/HRS/15260383,2026-01-07 01:24:03
CGK/HOC/00577269,203,TG3548007678,1,ANTAR ULANG,,,,,CGK/HRS/15271021,2026-01-08 01:57:01
SRG/HOC/00082372,1,010370000236326,1,,,,,,SRG/HRS/05256652,2026-01-07 21:57:27
SOC/HOC/00064747,4,0117582600058843,1,AU SORTIR ANDRI GUPEK,,,,,SOC/HRS/01999154,2026-01-08 22:22:40
BDO/HOC/00229130,23,0117582600059163,1,,,,,,BDO/HRS/08335649,2026-01-07 21:27:42
CGK/HOC/00576769,16,0161262600004395,1,,,,,,CGK/HRS/15254096,2026-01-06 00:10:42
BKI/HOC/00091520,530,0161262600004585,1,AU,,,,,BKI/HRS/03321476,2026-01-06 01:31:41
BOO/HOC/00096956,32,0161262600004692,1,AU KEMBALI KE AREA,,,,,BOO/HRS/07743052,2026-01-06 01:31:34
BOO/HOC/00096948,29,0161262600004700,1,,,,,,BOO/HRS/07742950,2026-01-06 00:01:45
CGK/HOC/00577547,1,024310000072426,1,AU REQ,,,,,CGK/HRS/15266746,2026-01-09 11:25:51
CGK/HOC/00577044,173,030120000249926,1,ANTAR ULANG,,,,,CGK/HRS/15264601,2026-01-07 01:23:28
CGK/HOC/00576990,35,041210000113026,1,,,,,,CGK/HRS/15262762,2026-01-06 23:30:48
SUB/HOC/00304411,73,082870000078826,1,AU SEMAMBUNG,,,,,SUB/HRS/05168015,2026-01-07 05:21:39
BKS/HOC/00087703,9,11003112877058,1,NOMER HP TIDAK AKTIF,,,,,BKS/HRS/00967742,2026-01-07 10:04:30
BKS/HOC/00087937,12,11003112877058,1,NOMER HP PENERIMA TIDAK ADA,,,,,BKS/HRS/00970081,2026-01-13 13:23:15
CGK/HOC/00577038,30,130390000057126,1,ANTAR ULANG,,,,,CGK/HRS/15264631,2026-01-07 01:07:16
MXG/HOC/00071535,1,430590000026126,1,ANTAR ULANG,,,,,MXG/HRS/01399929,2026-01-09 08:21:51
UPG/HOC/00093073,438,CM62530962774,2,,,,,,UPG/HRS/02144576,2026-01-17 17:17:23
DPS/HOC/00203535,1,DPSEC03264752126,1,,,,,,DPS/HRS/02034938,2026-01-07 09:42:06
